Username,ER
yuni_ias,7.85%
novitaridhaa,1.19%
iburanum_,9.89%
ajeng_apratiwi,16.51%
ica_frebiana27,4.15%
imtinaniarf,3.23%
awwaliaputriak,39.58%
bundashazia,4.32%
ceu_opit,4.32%
inshaniaji,0.66%
rheviida,0.34%
megantini,0.84%
_lisa.mardiana_,0.12%
yolanda_putrii,5.44%
istikaandini,0.55%
apriani_wina,23.25%
komalasari_smarthafiz,0.31%
ennaisiluy,0.5%
meidyristi,9.52%
chenenduth,0.85%
nonie_yustina,1.08%
babiiputri,3.17%
ummhaii,5.47%
anitasari_anet,2.13%
rinzalea,1.67%
erlindaamp,0.51%
novalinaeka_,4.34%
rinihandayani4642,2.67%
kikirizkiyah,1.49%
novita_billkill,2.03%
putri.di4na,2.83%
dina.julianaa,0.81%
put_tia,12.99%
vaniaalarasati28,3.85%
renirisalatii,1.26%
mynameisyuliana_,10.99%
natalya_yannies,1.54%
gitasonia18,1.02%
natadecoco99_,0.13%
nadiadwis_,1.54%
jingga_inara,2.26%
haishafura,7.74%
hikma_unst,8.28%
novianti_islahiah,0.87%
wiedyahesti,0.98%
wulan.purnama.sari,6.22%
moms.audrey,0.21%
megaskma,4.54%
arviannaufal,6.18%
iiralvin,2.55%
anggxxraini,6.52%
firdamita,1.23%
mar2iva,18.43%
_dputtt,4.97%
delariskianaa,1.66%
retnoantaka,4.63%
nuriahnasier,3.1%
mimina_putri,2.83%
henoy95,2.05%
hallojulianne_,4.7%
rissayuniar,6.5%
mama.lia211506,0.28%
dina.novianti12,5.69%
hilda4541,3.02%
lindakhan.786,6.46%
rosginasari01,2.96%
rismameidaa,1.02%
elisna_damayanti,6.55%
ndhtiwi21,4.23%
citradesidamayantii,2.26%
shareefak_,0.44%
ardll___,3.05%
annayafjr,10.51%
dewiayu1_,4.36%
nabillaswayantika,0.44%
rahmiaffandi,1.27%
dwiayufe_,5.38%
indah_qusnul,1.78%
endahjpurwanti,3.36%
meikekd,7.17%
annis_husna,3.76%
oktasetyawati,1.73%
nia.yonita,4.5%
ferafrnnd,6.14%
ayu_oktaviani_indra,0.98%
may145145,1.97%
miss_yudha,0.07%
yolandaaf_,5.01%
erliaekf,3.57%
